topic,keyword,importance
1,drug,0.056323215
1,cell,0.030648861
1,model,0.01796529
1,platform,0.015867557
1,assay,0.015183816
1,human,0.013248293
1,disease,0.013108572
1,development,0.011408123
1,screening,0.009683603
1,gene,0.009170245
1,culture,0.008940034
1,lead,0.008817624
1,throughput,0.008675407
1,therapeutic,0.007856394
1,well,0.0074849715
1,compound,0.0069866986
1,stem,0.0068833902
1,inhibitor,0.0067023197
1,target,0.0066750757
1,screen,0.006563713
1,associate,0.0064645554
1,approach,0.0061214515
1,efficacy,0.0060888026
1,function,0.006079471
1,identify,0.006041636
1,exist,0.0059970687
1,novel,0.005937189
1,new,0.0055505526
1,need,0.00542057
1,metabolism,0.0051030475
2,cell,0.026881216
2,chip,0.019422729
2,production,0.015373366
2,base,0.014499035
2,high,0.014344488
2,kidney,0.01402408
2,drug,0.013979054
2,time,0.013914616
2,assay,0.012548065
2,sensor,0.010831013
2,detection,0.01026843
2,virus,0.010186164
2,technology,0.009906893
2,method,0.009562912
2,focus,0.009542008
2,program,0.008555716
2,vector,0.008457844
2,discovery,0.00818155
2,current,0.0081609525
2,vaccine,0.0071916822
2,year,0.007168551
2,real,0.007092092
2,sufficient,0.007065536
2,platform,0.0067268712
2,cost,0.0066475333
2,kinetic,0.006618924
2,throughput,0.0066021183
2,culture,0.0063352203
2,rate,0.0061778654
2,viral,0.005994768
3,drug,0.025677647
3,candidate,0.017566299
3,lead,0.013664068
3,peptide,0.012194753
3,more,0.012157782
3,release,0.012064017
3,datum,0.011411178
3,clinical,0.011320545
3,compound,0.011246404
3,make,0.010754719
3,increase,0.009966244
3,series,0.009921106
3,matrix,0.009883162
3,decision,0.009267667
3,intuitive,0.009159697
3,pipeline,0.008688997
3,rheumatoid_arthritis,0.008617083
3,stage,0.008266551
3,propose,0.0078030187
3,browser,0.007803009
3,large,0.007598135
3,enable,0.0075879907
3,long,0.0071428334
3,optimal,0.007116905
3,advance,0.0066348366
3,well,0.0066094506
3,encapsulate,0.006375502
3,discovery,0.006269707
3,chemical,0.0061738007
3,value,0.0059452965
4,achieve,0.018068448
4,base,0.017425256
4,aim,0.01631105
4,product,0.014510451
4,dose,0.01440351
4,design,0.012738074
4,study,0.011947215
4,time,0.011936417
4,level,0.0116948355
4,patient,0.0107773505
4,vector,0.009868661
4,mouse,0.009162409
4,response,0.008955746
4,more,0.008572896
4,risk,0.008405134
4,transduction,0.008209049
4,allow,0.007587215
4,high,0.0072569237
4,increase,0.0071865264
4,usability,0.00716073
4,gene,0.0066943034
4,scale,0.0066388194
4,preliminary,0.006611013
4,efficiency,0.006543511
4,aav,0.0063953265
4,medication,0.0063127005
4,enhance,0.006294993
4,effective,0.006185287
4,compare,0.0061350414
4,skeletal_muscle,0.006128944
5,chemical,0.019231467
5,cell,0.018302906
5,oligonucleotide,0.017132986
5,mixture,0.0169918
5,recognize,0.014288107
5,first,0.013234843
5,help,0.0129649
5,therapeutic,0.009808989
5,safety,0.009574144
5,scientist,0.009522161
5,information,0.007671173
5,organization,0.006687613
5,overcome,0.0065915366
5,disseminate,0.0062707425
5,deliver,0.0062527326
5,format,0.006213163
5,software,0.0058201705
5,therapy,0.0057871263
5,formulate,0.0057460563
5,hepatic,0.0055977544
5,minchi,0.0055227056
5,airway,0.005485204
5,discover,0.005470768
5,standard,0.0054064477
5,great,0.0053995154
5,progress,0.0053346734
5,mutation,0.005309386
5,increase,0.0052522616
5,accurately,0.0051809014
5,tissue,0.005145347
6,muscle,0.027142117
6,enzyme,0.026351897
6,sirna,0.019063815
6,expression,0.013931997
6,cancer,0.013627057
6,peptide,0.013503855
6,dtx,0.013483215
6,vivo,0.0117152175
6,activity,0.011524225
6,conjugate,0.011017406
6,enable,0.010966338
6,mrna,0.010786423
6,target,0.010650501
6,highly,0.010515723
6,affinity,0.010283429
6,far,0.0101102255
6,also,0.008219846
6,therapeutic,0.008140616
6,application,0.007805826
6,potent,0.007551497
6,encode,0.0073220497
6,downstream,0.0064064427
6,mouse,0.006402396
6,muscular_dystrophy,0.006035527
6,yet,0.0059922626
6,involve,0.0058015105
6,molecule,0.0057483558
6,publish,0.0057130367
6,liver,0.0056988895
6,deliver,0.005405844
7,condition,0.021445218
7,care,0.017054942
7,health,0.015346914
7,cell,0.012056754
7,as,0.010233912
7,large,0.010076764
7,research,0.009938373
7,incubator,0.009812544
7,healthcare,0.009588385
7,single,0.009097802
7,enhance,0.0087611815
7,datum,0.008582809
7,system,0.008459147
7,experiment,0.008212949
7,often,0.008115011
7,build,0.007939942
7,patient,0.00793246
7,provider,0.0077067027
7,burden,0.007690487
7,year,0.007415185
7,problem,0.0072101327
7,bias,0.0070888326
7,form,0.0069361245
7,understanding,0.0068530953
7,other,0.0064040115
7,differentiate,0.00628165
7,data,0.006148458
7,rely,0.0061253724
7,base,0.0058449083
7,level,0.005461827
8,clinical,0.013856813
8,device,0.0138213355
8,improve,0.012219256
8,human,0.011996482
8,therapy,0.0114868535
8,subject,0.0113333715
8,result,0.011281473
8,test,0.009398478
8,market,0.008751187
8,healthy,0.008651836
8,tumor,0.007867432
8,efficacy,0.007542791
8,user,0.007341893
8,application,0.007333175
8,diagnosis,0.006983458
8,research,0.006642462
8,challenge,0.0065568364
8,control,0.006337565
8,feature,0.0061458903
8,biology,0.0059091225
8,tool,0.0058172024
8,mean,0.0057867924
8,different,0.0056932857
8,treatment,0.005417182
8,obtain,0.005363507
8,motor,0.0053147315
8,make,0.005299932
8,engineer,0.0051658177
8,database,0.0049398057
8,large,0.0048383498
9,structural,0.01311056
9,datum,0.012977787
9,large,0.012053215
9,analysis,0.011886371
9,tool,0.01172968
9,combine,0.011595275
9,image,0.011547164
9,approach,0.010889883
9,create,0.010145437
9,chemical,0.010124613
9,system,0.0098671205
9,software,0.00979367
9,discovery,0.009722004
9,then,0.009451778
9,covalent,0.009004967
9,offer,0.00883603
9,cloud,0.008748305
9,together,0.00831742
9,computational,0.0072483905
9,multiple,0.007159926
9,vector,0.007116586
9,type,0.007103925
9,solve,0.0070804106
9,full_length,0.006530353
9,vendor,0.0065063597
9,resource,0.00649916
9,lesion,0.006411162
9,package,0.0063442593
9,step,0.0063442155
9,workflow,0.0063166097
10,video,0.03787927
10,physician,0.028193573
10,training,0.026195249
10,medical,0.021590818
10,interface,0.020757902
10,disorder,0.020669254
10,rare,0.016391523
10,remote,0.014514553
10,feed,0.014163004
10,live,0.012697344
10,timely,0.011375301
10,effort,0.0112124905
10,train,0.00999218
10,distance,0.009992175
10,procedure,0.009898571
10,yet,0.009487042
10,emergency,0.009256887
10,immersive,0.008521676
10,technology,0.008442527
10,user,0.008262365
10,view,0.007864747
10,fetal,0.007861327
10,streaming,0.007786448
10,knowledge,0.007483547
10,face,0.0074662324
10,healthcare,0.0073689967
10,resident,0.0071296687
10,provide,0.006473501
10,decision,0.0062681036
10,program,0.0062630996
11,production,0.024528973
11,therapy,0.021979935
11,vector,0.021045636
11,particle,0.019336011
11,technology,0.018722042
11,yield,0.017923845
11,complex,0.016429598
11,therapeutic,0.016245624
11,measurement,0.014060692
11,site,0.0131439725
11,concentration,0.012120821
11,single,0.012012153
11,biological,0.011937785
11,method,0.010634254
11,produce,0.0102268
11,purification,0.009896368
11,require,0.009737266
11,cell,0.009667565
11,accurate,0.009535859
11,new,0.009499091
11,size,0.009487495
11,specific,0.009363139
11,vaccine,0.009211204
11,gene,0.008889765
11,batch,0.0074328193
11,stability,0.0073762964
11,measure,0.0072089476
11,protein,0.007107751
11,other,0.006948799
11,manufacturing,0.0068416568
12,delivery,0.074506216
12,gene,0.04376266
12,target,0.032662287
12,system,0.027990285
12,disease,0.021444732
12,cargo,0.0184721
12,genetic,0.01620394
12,injection,0.014649228
12,vivo,0.014269177
12,gene_editing,0.013474885
12,platform,0.013402136
12,treatment,0.012341579
12,therapy,0.012065683
12,genome,0.01175123
12,therapeutic,0.011313964
12,deliver,0.011141433
12,immune,0.010847711
12,tissue,0.010817021
12,formulation,0.010705782
12,systemic,0.010113088
12,bacteria,0.009534739
12,administration,0.009237195
12,engineer,0.0086582145
12,form,0.008489534
12,gene_edit,0.008154689
12,sequence,0.007466909
12,cas,0.007227341
12,viral,0.007110013
12,editor,0.0070907543
12,effect,0.007026322
13,patient,0.039817132
13,fiber,0.023631977
13,blood,0.022080883
13,clinical,0.017794082
13,study,0.012005914
13,trial,0.011078101
13,evaluate,0.01102262
13,neuron,0.010618727
13,community,0.010076544
13,rural,0.009254218
13,pediatric,0.009232012
13,medical,0.00915934
13,research,0.008877886
