topic,keyword,importance
1,drug,0.03867166
1,cell,0.019244865
1,disease,0.013128815
1,platform,0.010621466
1,development,0.0093901
1,model,0.0090924315
1,assay,0.008628562
1,gene,0.008214253
1,lead,0.008120824
1,human,0.0076204194
1,therapeutic,0.0075714346
1,target,0.0074643507
1,screening,0.006651665
1,compound,0.0064376015
1,treatment,0.0059651705
1,throughput,0.005754671
1,enable,0.005463792
1,discovery,0.005429629
1,clinical,0.0051731486
1,well,0.0049562166
1,efficacy,0.004930355
1,stem,0.004904035
1,new,0.00482421
1,inhibitor,0.004628725
1,approach,0.0045308275
1,screen,0.004492888
1,identify,0.004254597
1,novel,0.0041646576
1,associate,0.004084891
1,effective,0.003920384
2,cell,0.01897268
2,chip,0.010561594
2,protein,0.01042873
2,kidney,0.007262319
2,assay,0.006635663
2,human,0.0060304897
2,model,0.005852504
2,culture,0.005673109
2,kinase,0.0050139055
2,work,0.004863539
2,characterization,0.0047472846
2,engineer,0.004555258
2,function,0.004293815
2,load,0.0042903195
2,component,0.004223315
2,delivery,0.0042062034
2,drug,0.0041792477
2,device,0.0040763547
2,feature,0.004067773
2,include,0.003992008
2,test,0.0039901305
2,patient,0.0038509327
2,inhibitor,0.0037239587
2,range,0.003698593
2,limited,0.0034527464
2,sufficient,0.0034373135
2,phase,0.0032946453
2,home,0.0032428473
2,form,0.0032234539
2,amenable,0.0032050246
3,liver,0.01657296
3,biologic,0.016144048
3,system,0.01482102
3,technology,0.01436241
3,drug,0.0126389805
3,platform,0.010190876
3,delivery,0.009711637
3,high,0.0085940445
3,induce,0.008072266
3,human,0.0067501916
3,cost,0.006731326
3,injury,0.006687769
3,time,0.006144559
3,combination,0.0059700496
3,assay,0.0055222735
3,sensor,0.005431074
3,organ,0.005396225
3,potential,0.0052722488
3,cause,0.0051637245
3,formulation,0.0050713005
3,biosensor,0.0049903556
3,detection,0.004967352
3,validate,0.0049170363
3,throughput,0.0047576516
3,integrate,0.00452932
3,reduce,0.0045141787
3,discovery,0.00444641
3,program,0.004349487
3,therapeutic,0.0042901747
3,preclinical,0.004232895
4,cell,0.012736565
4,sample,0.010616303
4,complex,0.009023906
4,product,0.0084566865
4,particle,0.008428013
4,single,0.007919364
4,prototype,0.0077199866
4,other,0.006720913
4,measurement,0.006608856
4,device,0.0064965137
4,high,0.00640085
4,achieve,0.006322227
4,aim,0.0061841086
4,therapeutic,0.006166394
4,detection,0.006130455
4,structural,0.005882131
4,vector,0.0057304786
4,study,0.0056207427
4,purification,0.005450699
4,such,0.005449741
4,technology,0.005238979
4,multiplexed,0.0051661157
4,therapy,0.005086621
4,gene,0.004956444
4,trial,0.0047941515
4,level,0.004774759
4,integrate,0.0046531837
4,edit,0.0046424153
4,project,0.004573482
4,time,0.0042868047
5,continuous,0.01834106
5,flow,0.013609239
5,cell,0.01242563
5,mixture,0.010929668
5,chemical,0.0106840115
5,oligonucleotide,0.010477609
5,therapeutic,0.010301899
5,crystallization,0.009535799
5,first,0.0087053515
5,nucleation,0.0086740125
5,therapy,0.008307531
5,enhance,0.0078065824
5,api,0.0067056674
5,human,0.006445848
5,manufacture,0.006188973
5,scientist,0.005860042
5,module,0.0056570806
5,improve,0.0054620705
5,study,0.0052428846
5,safety,0.0052273856
5,surface,0.0052259257
5,energy,0.005195006
5,efficacy,0.0049882173
5,tumor,0.0043645645
5,format,0.00422509
5,manufacturing,0.004090325
5,survival,0.004079305
5,deliver,0.003933632
5,overcome,0.0039258893
5,batch,0.0037441037
6,patient,0.021377927
6,fiber,0.019296262
6,blood,0.016746338
6,muscle,0.012625633
6,enable,0.0092553
6,neuron,0.008683239
6,aim,0.0076347208
6,therapy,0.007610983
6,sirna,0.00730534
6,pediatric,0.007187014
6,evaluate,0.007023495
6,clinical,0.0068902676
6,study,0.0068126637
6,activity,0.0067807497
6,dtx,0.00647533
6,protodrug,0.0064230477
6,covalent,0.006132904
6,expression,0.006066048
6,conjugate,0.0060570324
6,trial,0.0059057316
6,medical,0.0058328905
6,dysfunction,0.005766487
6,proposal,0.005555737
6,vivo,0.0054447087
6,include,0.0054323645
6,pain,0.005251193
6,safe,0.004820257
6,target,0.0048073316
6,initiate,0.004781308
6,stability,0.0047802376
7,cell,0.0142016895
7,research,0.010901752
7,process,0.010160016
7,production,0.010001478
7,scale,0.008385592
7,base,0.007112925
7,patient,0.007044596
7,manufacturing,0.007029153
7,health,0.0069208466
7,cost,0.006475783
7,vaccine,0.0064345445
7,system,0.0059503554
7,care,0.0054760943
7,vector,0.004854491
7,implement,0.0045660166
7,tissue,0.004514397
7,year,0.004460077
7,cancer,0.0043932404
7,build,0.0042229546
7,pdms,0.0042034555
7,condition,0.004156705
7,require,0.004073733
7,time,0.0040631527
7,clinical,0.0039568255
7,increase,0.0039104186
7,community,0.0039049762
7,virus,0.0039048537
7,method,0.0038966155
7,technology,0.0038336643
7,microfluidic,0.0038170547
8,gene,0.01819795
8,delivery,0.014620024
8,device,0.014471214
8,target,0.01353584
8,system,0.012308632
8,vector,0.010497489
8,therapy,0.0100308955
8,enzyme,0.007492189
8,demonstrate,0.007440041
8,clinical,0.0069431188
8,vivo,0.006608948
8,test,0.006318834
8,cargo,0.005954253
8,challenge,0.005869515
8,membrane,0.005858608
8,protein,0.0057230312
8,work,0.0052807983
8,non,0.0050794026
8,subject,0.0050244066
8,find,0.0047054193
8,genetic,0.0045722737
8,large,0.0045683044
8,lipid,0.004493716
8,application,0.004351766
8,support,0.0042920876
8,market,0.0042471006
8,result,0.0040058917
8,cas,0.0039534015
8,brain,0.0038617516
8,full_length,0.0037226798
9,datum,0.017047038
9,tool,0.009275468
9,video,0.008999066
9,medical,0.0072877356
9,physician,0.0071380017
9,image,0.0070719076
9,software,0.0067107817
9,analysis,0.0063267974
9,training,0.0062169847
9,healthcare,0.0060580363
9,technology,0.0060217166
9,large,0.006018343
9,remote,0.006004162
9,skin,0.005827956
9,offer,0.0056628836
9,database,0.00556685
9,effort,0.0053646327
9,cloud,0.0052827178
9,biological,0.0052152327
9,chemical,0.0051452625
9,combine,0.005074806
9,create,0.004963086
9,multiple,0.004883161
9,together,0.004847182
9,group,0.004591771
9,requirement,0.0045889146
9,resource,0.004562997
9,disorder,0.004536316
9,diagnosis,0.0044237445
9,rare,0.0043346435
10,protein,0.06127244
10,receptor,0.046029292
10,molecule,0.02917679
10,small,0.028314123
10,produce,0.012537892
10,study,0.011791352
10,compound,0.011203216
10,assay,0.010732259
10,recombinant,0.010586166
10,activity,0.010283116
10,demonstrate,0.010095169
10,increase,0.009844098
10,screen,0.0094828
10,tissue,0.009407173
10,homogeneous,0.008796371
10,ataxia,0.008796367
10,cytokine,0.0087963585
10,bind,0.008746211
10,interaction,0.007986127
10,selectivity,0.007612674
10,frataxin,0.0076119658
10,type,0.0074270526
10,anti,0.0071591227
10,selective,0.0070056906
10,effect,0.0068707387
10,label,0.006584981
10,modulator,0.0064605866
10,include,0.0061049005
10,situ,0.0059778364
10,new,0.005888439
