topic,keyword,importance
1,chemical,0.022420516
1,exposure,0.01626501
1,test,0.015660198
1,monitor,0.014140315
1,device,0.014026364
1,mercury,0.009278066
1,most,0.008505023
1,datum,0.007852117
1,class,0.0076425085
1,uv,0.007638474
1,thm,0.007559214
1,detect,0.007435564
1,improve,0.0073448424
1,multiple,0.0073358873
1,industry,0.0069950023
1,human,0.006501155
1,small,0.006174237
1,individual,0.0060685
1,cause,0.005692535
1,affordable,0.005313218
1,currently,0.005273759
1,help,0.0052166814
1,selectivity,0.0051407926
1,swb,0.0050483444
1,cancer,0.004983295
1,personal,0.0049643265
1,sense,0.0048742667
1,goal,0.004647882
1,determine,0.0045612818
1,validate,0.0045156023
2,model,0.026707396
2,cell,0.023770304
2,human,0.01899251
2,chemical,0.014526994
2,toxicity,0.014162605
2,datum,0.013121758
2,animal,0.011246687
2,response,0.009859919
2,drug,0.009485408
2,assay,0.009318393
2,compound,0.009242271
2,testing,0.0072884145
2,system,0.006920646
2,tissue,0.0067117307
2,well,0.006602089
2,culture,0.006402403
2,vivo,0.0059809643
2,assessment,0.0059743505
2,gene,0.005959189
2,organoid,0.0057551637
2,toxicology,0.0054430985
2,predict,0.00525636
2,screening,0.005184522
2,liver,0.004767877
2,approach,0.0046024085
2,platform,0.0044939322
2,enable,0.004214686
2,throughput,0.0041989083
2,panel,0.0041775536
2,analysis,0.0041558077
3,worker,0.020910235
3,delay,0.015014674
3,campaign,0.0131957065
3,pandemic,0.011414799
3,recruit,0.010592828
3,essential,0.010188155
3,pathogen,0.009677984
3,training,0.008900434
3,proactively,0.007462371
3,audience,0.0072145816
3,behavior,0.0071044522
3,organization,0.006755108
3,tailor,0.0062287473
3,coronavirus,0.00617041
3,time,0.0060972357
3,remote,0.0058478904
3,encourage,0.005725809
3,start,0.00570512
3,microbiological,0.0055779526
3,recommendation,0.0053288266
3,formative,0.00528064
3,just,0.005260629
3,manage,0.005062452
3,adapt,0.004956106
3,safety,0.0049200268
3,thorough,0.004578534
3,regression,0.0045710737
3,assessment,0.0044558253
3,multimedia,0.0044133407
3,transmission,0.004201489
4,air_pollution,0.048400924
4,pm,0.034651298
4,premature,0.015047134
4,drive,0.010971741
4,nicotine,0.009677324
4,urban,0.008794656
4,particulate_matter_pm,0.0069889803
4,keep_pace,0.0069889496
4,introduce,0.00689425
4,primary,0.0061284066
4,procedure,0.006075782
4,negative,0.005971115
4,gravimetric,0.0059706992
4,enclosure,0.0058002365
4,renal,0.005751154
4,detailed,0.005684869
4,mortality,0.0055633783
4,respiratory_tract,0.0055633765
4,µm,0.005401486
4,tobacco,0.005377004
4,explore,0.005197416
4,vape,0.004350072
4,distribution,0.004286175
4,basal,0.0041924086
4,vasculature,0.0040613534
4,nanotechnology,0.003958778
4,keratinocyte,0.003778584
4,save,0.00357189
4,analysis,0.003289773
4,nasal,0.0031761657
5,test,0.025224308
5,sample,0.01940456
5,detection,0.01886599
5,rapid,0.011683029
5,accurate,0.0113782445
5,analysis,0.010775931
5,result,0.010050964
5,exposure,0.008893258
5,kit,0.0075577227
5,sensitivity,0.0072716107
5,portable,0.0070114145
5,application,0.006684277
5,product,0.006639509
5,advanced,0.00649221
5,voc,0.006352297
5,field,0.006081061
5,require,0.0060375365
5,regulatory,0.0053797336
5,instrument,0.005224779
5,accuracy,0.005127767
5,overall,0.0050393078
5,chip,0.0049766595
5,lead,0.00473508
5,simple,0.004599424
5,sensitive,0.004439594
5,manufacturing,0.004383089
5,commercialization,0.0042816456
5,customer,0.0040497575
5,stability,0.004032823
5,available,0.0039215507
6,effective,0.012955079
6,training,0.008429681
6,responder,0.007473059
6,performance,0.0068134847
6,poisoning,0.006785788
6,assay,0.006747996
6,study,0.0065970607
6,sequence,0.006583662
6,mutation,0.0065608057
6,human,0.006549659
6,bind,0.006378154
6,affinity,0.0051843855
6,also,0.0051472625
6,hemoglobin,0.004918238
6,product,0.004732682
6,adsorbent,0.004698081
6,even,0.004648827
6,high,0.0044486867
6,system,0.004392527
6,emerge,0.0043249987
6,blood,0.004313374
6,adsorption,0.004304557
6,only,0.0042213844
6,patient,0.004204187
6,most,0.004181329
6,more,0.0041742017
6,specific,0.00404459
6,chemical,0.003838071
6,genotoxicity,0.003784406
6,limit,0.003773323
7,exposure,0.03572936
7,product,0.013842932
7,risk,0.011310937
7,particle,0.009223102
7,consumer,0.009155461
7,concentration,0.00891052
7,time,0.008883453
7,sensor,0.008838475
7,market,0.007818529
7,monitoring,0.0073240874
7,new,0.007294945
7,air,0.0072029573
7,level,0.0069601764
7,source,0.006590029
7,size,0.0062085963
7,release,0.0061423075
7,monitor,0.005623288
7,measure,0.005461839
7,disease,0.0051373593
7,technology,0.0051017096
7,indoor,0.0050158272
7,enm,0.0048235534
7,generate,0.0047897464
7,assessment,0.004761467
7,cost,0.00470714
7,system,0.004691446
7,toxic,0.004608892
