topic,keyword,importance
1,exposure,0.017085765
1,chemical,0.0148808425
1,monitor,0.009700782
1,device,0.007984735
1,particle,0.0072381054
1,sensor,0.0060982443
1,instrument,0.0060876375
1,datum,0.005936169
1,test,0.005599309
1,concentration,0.00543018
1,platform,0.005423394
1,monitoring,0.0053433906
1,health,0.005162899
1,tool,0.0049557276
1,cost,0.0049074315
1,new,0.0047287
1,industry,0.004486631
1,time,0.0044822902
1,user,0.0043465123
1,determine,0.004293294
1,research,0.0042917295
1,disease,0.0040939637
1,market,0.0040435186
1,help,0.0039718375
1,mercury,0.0039489446
1,measure,0.0039190156
1,most,0.0037738443
1,personal,0.0037136194
1,air,0.0035622236
1,medical,0.003526407
2,model,0.023785848
2,cell,0.01842121
2,human,0.015312117
2,toxicity,0.012562909
2,assay,0.012488822
2,chemical,0.012047315
2,animal,0.0104768155
2,datum,0.010312545
2,drug,0.009293646
2,compound,0.0077330214
2,testing,0.006534592
2,response,0.006372831
2,system,0.0061605424
2,culture,0.005928667
2,vivo,0.005521115
2,tissue,0.005448314
2,assessment,0.005400426
2,method,0.005257887
2,well,0.0051857177
2,organoid,0.005146265
2,screening,0.004888421
2,toxicology,0.0046669994
2,liver,0.0042157224
2,predict,0.0040882835
2,approach,0.0040288046
2,test,0.0037299641
2,throughput,0.0036058922
2,derive,0.0035943997
2,high,0.0035444815
2,effect,0.003456985
3,exposure,0.009778785
3,patient,0.008943171
3,tool,0.008227858
3,service,0.0076295403
3,training,0.007449815
3,health,0.007277639
3,datum,0.0072030053
3,product,0.006538392
3,risk,0.005898152
3,support,0.0056814393
3,user,0.005667424
3,software,0.005393347
3,environmental,0.004962171
3,space,0.0047985837
3,study,0.004262958
3,framework,0.0042305537
3,time,0.0041541425
3,poisoning,0.0040691756
3,base,0.0040645436
3,expert,0.0039147683
3,hemoglobin,0.00387072
3,literacy,0.003817646
3,analysis,0.0036652614
3,usability,0.0036301303
3,sample,0.003613074
3,high,0.0035007528
3,available,0.0034913656
3,molecule,0.0034089042
3,system,0.0034058813
3,climate_change,0.0032942323
4,gene,0.011402812
4,health,0.010920197
4,cell,0.010621274
4,kit,0.010302594
4,environmental,0.009646177
4,community,0.009510448
4,response,0.009418514
4,testing,0.0074798237
4,human,0.0074770357
4,genotoxic,0.007388416
4,analysis,0.0067119244
4,student,0.0059633832
4,provide,0.005593399
4,city,0.0055206404
4,throughput,0.005463188
4,improve,0.0053665107
4,program,0.0052811266
4,barcode,0.005160098
4,epigenetic,0.0049473564
4,base,0.0049463967
4,increase,0.004637585
4,current,0.004572873
4,dnt,0.00451906
4,assay,0.0043059406
4,air_pollution,0.004300302
4,environment,0.0042746062
4,panel,0.00426225
4,information,0.004250936
4,education,0.0041900137
4,make,0.004108391
5,exposure,0.018520962
5,test,0.011101415
5,product,0.009659777
5,detection,0.007731942
5,consumer,0.0072772126
5,sample,0.006789294
5,rapid,0.0055567003
5,technology,0.005363275
5,accurate,0.0051664044
5,release,0.00467828
5,project,0.004638274
5,lead,0.0045685642
5,risk,0.0045649144
5,low,0.004507498
5,site,0.0044132136
5,remediation,0.004386038
5,environmental,0.004333965
5,kit,0.004021045
5,technique,0.003981755
5,new,0.0039031627
5,need,0.0038749464
5,enm,0.003773293
5,scale,0.0037519396
5,platform,0.0036785766
5,application,0.0036685166
5,analysis,0.0035595365
5,other,0.0035437802
5,sensitivity,0.0034307535
5,personal,0.0034297374
5,sensitive,0.0033986599
6,water,0.01490662
6,technology,0.011066299
6,training,0.010972714
6,lead,0.007490462
6,system,0.005987192
6,cost,0.005417635
6,site,0.005312433
6,treatment,0.0048049046
6,performance,0.0042800386
6,contaminant,0.0038316036
6,level,0.003789473
6,platform,0.0037124236
6,device,0.0035119026
6,effective,0.0034859295
6,solution,0.0034698525
6,public,0.0034208635
6,sensor,0.0034002638
6,process,0.0033961344
6,worker,0.0033749256
6,target,0.0033214216
6,address,0.0031901628
6,drinking_water,0.0031686611
6,field,0.00314212
6,monitoring,0.0030655633
6,material,0.0030018731
6,concentration,0.0029621655
6,low,0.0028783274
6,exist,0.0028711634
6,testing,0.0028500387
6,design,0.0028321065
